score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,0,1.0,1.0,1.0
0.03,1,0,0,1.0,1.0,1.0
0.05,1,0,0,1.0,1.0,1.0
0.07,1,0,0,1.0,1.0,1.0
0.09,1,0,0,1.0,1.0,1.0
0.11,1,0,0,1.0,1.0,1.0
0.13,1,0,0,1.0,1.0,1.0
0.15,1,0,0,1.0,1.0,1.0
0.17,1,1,0,0.5,1.0,0.6666666666666666
0.19,1,2,0,0.3333333333333333,1.0,0.5
0.21,1,2,0,0.3333333333333333,1.0,0.5
0.23,1,3,0,0.25,1.0,0.4
0.25,1,5,0,0.16666666666666666,1.0,0.2857142857142857
0.27,1,7,0,0.125,1.0,0.2222222222222222
0.29,1,10,0,0.09090909090909091,1.0,0.16666666666666669
